Family,Species,Genus,Epithet,Author(s),Status,UsageID,Tax source,Reference I,Reference II,Reference III,Hemi,,,
Apocynaceae,Hoya kanyakumariana,Hoya,kanyakumariana,A.N.Henry & Swamin.,ambiguous,wfo-0000725302,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya kastbergii,Hoya,kastbergii,Kloppenb.,ambiguous,wfo-0000725303,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya kenejiana,Hoya,kenejiana,Schltr.,ambiguous,wfo-0000725304,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya kentiana,Hoya,kentiana,C.M.Burton,ambiguous,wfo-0000725305,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya kerrii,Hoya,kerrii,Craib,accepted,wfo-0000725306,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya kingdonwardii,Hoya,kingdonwardii,P.T.Li,ambiguous,wfo-0000725308,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya kuhlii,Hoya,kuhlii,(Blume) Koord.,accepted,wfo-0001103999,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya lacunosa,Hoya,lacunosa,Blume,accepted,wfo-0000725315,wfo,Flora of China (2008),Kloppenburg (2004),,,,,
Apocynaceae,Hoya lanceolata,Hoya,lanceolata,Wall. ex D.Don,ambiguous,wfo-0000725319,wfo,WCSP (2019),,,,,,
Apocynaceae,Hoya lasiantha,Hoya,lasiantha,Korth. ex Blume,ambiguous,wfo-0000725322,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya lasiogynostegia,Hoya,lasiogynostegia,P.T.Li,accepted,wfo-0000725324,wfo,Flora of China (2008),Kloppenburg (2004),,,,,
Apocynaceae,Hoya latifolia,Hoya,latifolia,G.Don,ambiguous,wfo-0000725325,wfo,Chong et al. (2009),Kloppenburg (2004),,,,,
Apocynaceae,Hoya leytensis,Hoya,leytensis,Elmer ex C.M.Burton,ambiguous,wfo-0000725334,wfo,Kloppenburg (2004),,,,,,
Apocynaceae,Hoya liangii,Hoya,liangii,Tsiang,accepted,wfo-0000725335,wfo,Flora of China (2008),Kloppenburg (2004),,,,,
